ISO,Life expectancy,Adult Mortality,infant deaths,percentage expenditure,Measles,BMI,under-five deaths,HIV/AIDS,GDP,Population,thinness 1-19 years,thinness 5-9 years,Income composition of resources,Schooling,Happiness Rank,Happiness Score,Factor economy,Factor health,Freedom,Trust (Government Corruption),Generosity,2010,2011,2012,2013,2014,2015,2016,2017,2018,Unnamed: 49,MeanGini,RankGini,index,Mean Crime Index,Min Crime Index,Max Crime Index,RankCrime
ALB,77.03333333333333,71.83333333333333,0.16666666666666666,352.6549145816667,7.833333333333333,56.15,0.8333333333333334,0.10000000000000002,3687.311108166666,199472.66666666666,1.3,1.4000000000000001,0.7494999999999999,13.766666666666666,106.4,4.712600010681152,0.9386325506629944,0.7876959493293763,0.3718977269630432,0.04320084319996834,0.16788658885860439,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,17.0,4.0,44.5,44.5,44.5,62.0
ARG,75.93333333333334,83.0,8.666666666666666,779.11108305,3.8333333333333335,52.3,9.833333333333334,0.10000000000000002,10943.672711666666,36019452.0,1.0,0.9,0.819,17.166666666666668,31.2,6.459399995422364,1.111035092521668,0.7608954167060852,0.4816198407802582,0.0643079775428772,0.092371412138939,43.0,42.3,41.2,41.0,41.4,0.0,42.4,40.6,0.0,0.0,41.7,91.0,7.0,66.27333333333333,60.38000000000001,75.11,133.0
ARM,74.26666666666667,105.66666666666667,1.0,222.41801301666663,9.666666666666666,53.0,1.0,0.10000000000000002,3106.361040333333,1540915.0,2.0500000000000003,2.1166666666666667,0.7328333333333333,12.633333333333333,122.8,4.3931999855041495,0.8391333475723265,0.6978508851966858,0.2160286534719468,0.03876688430082798,0.08239361836528777,30.0,29.4,29.6,30.6,31.5,32.4,32.5,33.6,0.0,0.0,31.2,24.0,8.0,21.66,21.66,21.66,9.0
AUS,82.36666666666666,52.333333333333336,1.0,9013.544533833332,171.83333333333334,65.25,1.0,0.10000000000000002,61393.17152833333,12071373.0,0.6166666666666666,0.6,0.9316666666666666,20.083333333333332,10.0,7.276199983978271,1.3948849870224,0.9145293585319519,0.6050434764595032,0.3145727460727692,0.4160778499965668,34.7,0.0,0.0,0.0,35.8,0.0,0.0,0.0,0.0,0.0,35.25,52.0,9.0,46.27375,22.31,73.51,73.0
AUT,84.0,59.0,0.0,5335.781070126667,97.0,56.38333333333334,0.0,0.10000000000000002,40276.874235,7218682.833333333,1.7833333333333332,2.0,0.8845000000000001,15.716666666666665,12.0,7.142000008392334,1.398341452667236,0.8836796838417055,0.576929237915039,0.21426007308769218,0.29240046434974676,30.3,30.8,30.5,30.8,30.5,30.5,0.0,0.0,0.0,0.0,30.566666666666663,21.0,10.0,27.115000000000002,26.85,27.380000000000003,18.0
BEL,83.85000000000001,65.66666666666667,0.0,1651.5745874,146.83333333333334,62.81666666666666,1.0,0.10000000000000002,11688.873595,6123591.0,0.95,0.9333333333333332,0.8870000000000001,16.233333333333334,17.6,6.92139995880127,1.375398152153016,0.8828703738708497,0.5387621444778442,0.23784462621307378,0.20888066752433782,28.4,28.1,27.5,27.7,28.1,27.7,0.0,0.0,0.0,0.0,27.916666666666668,11.0,16.0,43.4025,26.26,57.38000000000001,61.0
BGD,72.35000000000001,114.83333333333333,108.16666666666667,41.257422145,1527.5,16.733333333333334,135.66666666666666,0.10000000000000002,617.9028264499999,59971506.333333336,18.400000000000002,18.883333333333333,0.5578333333333333,9.733333333333333,113.8,4.580199960327148,0.5239965950584412,0.5933542067108154,0.47826733188247683,0.1324475718774796,0.17895907042789458,32.1,0.0,0.0,0.0,0.0,0.0,32.4,0.0,0.0,0.0,32.25,31.0,14.0,63.65999999999999,63.65999999999999,63.65999999999999,127.0
BGR,73.98333333333333,119.83333333333333,0.8333333333333334,465.97426575,3696.0,64.2,1.0,0.10000000000000002,7426.171968333333,6191143.166666667,1.9333333333333331,1.9166666666666667,0.7805,14.433333333333332,113.0,4.618600045013428,1.0865358176651,0.7359535360908508,0.2954583435173034,0.007784306189954281,0.1010635388760566,35.7,34.3,36.0,36.6,37.4,0.0,0.0,0.0,0.0,0.0,36.0,60.0,20.0,39.63,37.13,42.13,49.0
BLR,72.14999999999999,177.66666666666666,0.0,534.013507075,23.833333333333332,51.8,0.6666666666666666,0.10000000000000002,4920.620287,8052895.666666667,1.9666666666666668,2.066666666666667,0.7916666666666666,15.6,68.2,5.597999953460694,1.085019511993408,0.6987668533554079,0.3015380523757934,0.1635567643346786,0.120003501821518,28.6,27.2,26.5,26.6,27.2,25.6,25.3,25.4,0.0,0.0,26.55,5.0,15.0,58.720000000000006,58.720000000000006,58.720000000000006,114.0
BRA,74.48333333333333,147.66666666666666,47.666666666666664,673.1368692533333,237.16666666666666,54.05,53.333333333333336,0.10000000000000002,9813.986441666666,70799653.83333333,2.8000000000000003,2.75,0.7341666666666667,14.433333333333332,23.0,6.6578000457763675,1.033226642089844,0.6809444705810546,0.4430387493591308,0.1203925522317886,0.13496997892856602,0.0,52.9,52.7,52.8,51.5,51.3,53.7,53.3,0.0,0.0,52.6,120.0,19.0,67.51076923076923,45.72,77.93,136.0
